repo,review_order_in_repo,category,evidence_path,confidence,score,manual_label,comments
ai-edge,1,arch_overview,README.md,high,7,TP
ai-edge,2,context,manifests/README.md,medium,4,TP
ai-edge,3,views,docs/images/edge-architecture.png,high,7,TP
ai-edge,4,quality,README.md,low,0,FP
ai-edge,5,deployment,manifests/README.md,medium,4,TP
ai-edge,6,interface,docs/cli.md,low,1,TP
ai-edge,7,evaluation,test/e2e-tests/tests/pipelines_test.go,low,3,TP
AI-on-the-edge-device,1,arch_overview,README.md,medium,5,TP
AI-on-the-edge-device,2,quality,param-docs/parameter-pages/MQTT/ValidateServerCert.md,low,0,TP
AI-on-the-edge-device,3,deployment,code/README.md,medium,6,TP
AI-on-the-edge-device,4,interface,README.md,low,1,TP
AI-on-the-edge-device,5,evaluation,code/components/jomjol_fileserver_ota/miniz/readme.md,low,0,FP
ai8x-synthesis,1,arch_overview,README.md,high,7,TP
ai8x-synthesis,2,context,README.md,medium,4,TP
ai8x-synthesis,3,views,develop/docs/DevelopmentFlow.png,medium,4,TP
ai8x-synthesis,4,deployment,README.md,low,1,TP
ai8x-synthesis,5,evaluation,networks/benchmark.yaml,low,2,TP
ai8x-training,1,arch_overview,README.md,high,7,TP
ai8x-training,2,context,README.md,medium,4,TP
ai8x-training,3,views,develop/docs/DevelopmentFlow.png,medium,4,TP
ai8x-training,4,deployment,README.md,low,1,TP
ai8x-training,5,interface,.github/workflows/test.yml,low,0,FP
ai8x-training,6,evaluation,README.md,low,0,FP
AiCSD,1,arch_overview,docs_src/log-analytics/overview.md,low,3,TP
AiCSD,2,quality,security.md,medium,6,TP
AiCSD,3,stakeholders,docs_src/log-analytics/overview.md,low,0,FP
AiCSD,4,deployment,as-file-receiver-oem/Dockerfile,low,3,TP
AiCSD,5,interface,as-file-receiver-oem/clients/file_sender/interface.go,low,3,TP
AiCSD,6,evaluation,docker-compose-grpc-go.yml,low,0,FP
AISonobuoy,1,arch_overview,Hydrophone/README.md; README.md,high,7,TP
AISonobuoy,2,views,README.md,low,3,TP
AISonobuoy,3,quality,SECURITY.md,medium,6,TP
AISonobuoy,4,stakeholders,CODE_OF_CONDUCT.md,low,0,FP
AISonobuoy,5,deployment,.github/workflows/docker.yml,medium,5,TP
AISonobuoy,6,interface,.github/workflows/config/semgrep-python.yml,low,0,FP
AISonobuoy,7,evaluation,Hydrophone/README.md,low,3,TP
auritus,1,arch_overview,Filter Development and Deployment/README.md,high,7,TP
auritus,2,stakeholders,Dataset/README.md,low,0,FP
auritus,3,deployment,Filter Development and Deployment/README.md,medium,4,TP
auritus,4,evaluation,Model Development and Deployment/TinyML Models/TCN/auritus_tcn/tensorflow/lite/micro/benchmarks/keyword_scrambled_model_data.h,low,0,FP
aws-iot-fleetwise-edge,1,arch_overview,README.md,high,7,TP
aws-iot-fleetwise-edge,2,context,docs/dev-guide/edge-agent-dev-guide-last-known-state.md,low,1,TP
aws-iot-fleetwise-edge,3,views,docs/dev-guide/images/architecture.png,medium,4,TP
aws-iot-fleetwise-edge,4,quality,SECURITY.md,medium,6,TP
aws-iot-fleetwise-edge,5,deployment,tools/container/Dockerfile,low,3,TP
aws-iot-fleetwise-edge,6,interface,interfaces/protobuf/schemas/cloudToCustomer/last_known_state_message.proto,low,3,TP
aws-iot-fleetwise-edge,7,evaluation,README.md,low,2,TP
aXeleRate,1,arch_overview,README.md,high,7,TP
aXeleRate,2,deployment,README.md,low,1,TP
aXeleRate,3,interface,example_scripts/arm_nn/README.md,low,0,FP
azure-iot-edge-identity-translation-lite,1,arch_overview,README.md,high,7,TP
azure-iot-edge-identity-translation-lite,2,context,docs/identitytranslationmodule.md,low,1,TP
azure-iot-edge-identity-translation-lite,3,views,docs/media/eventgrid-create.png,low,1,TP
azure-iot-edge-identity-translation-lite,4,quality,SECURITY.md,medium,6,TP
azure-iot-edge-identity-translation-lite,5,stakeholders,CODE_OF_CONDUCT.md,low,0,FP
azure-iot-edge-identity-translation-lite,6,deployment,docs/autodeploy.md,medium,4,TP
azure-iot-edge-identity-translation-lite,7,interface,docs/identitytranslationmodule.md,low,1,TP
azure-iotedge,1,arch_overview,README.md,high,7,TP
azure-iotedge,2,quality,SECURITY.md,medium,6,TP
azure-iotedge,3,interface,product-versions.json,low,0,FP
baetyl,1,arch_overview,README.md,high,7,TP
baetyl,2,views,docs/baetyl-arch-v2.svg,medium,4,TP
baetyl,3,deployment,Dockerfile,low,3,TP
baetyl,4,interface,README.md,low,1,TP
baetyl,5,evaluation,README.md,low,0,FP
BirdsEye,1,arch_overview,README.md,high,7,TP
BirdsEye,2,views,docs/classes_BirdsEye.png,high,7,TP
BirdsEye,3,quality,.github/workflows/codeql-analysis.yml,low,0,FP
BirdsEye,4,deployment,Dockerfile,low,3,TP
BirdsEye,5,interface,pyproject.toml,low,0,FP
BirdsEye,6,evaluation,tests/mqtt_messages.log,low,0,FP
BitNetMCU,1,arch_overview,docs/documentation.md,high,8,TP
BitNetMCU,2,views,docs/Model.drawio,high,7,TP
BitNetMCU,3,deployment,docs/readme.md,low,0,FP
BitNetMCU,4,evaluation,docs/documentation.md,medium,5,TP
compage,1,arch_overview,README.md,high,7,TP
compage,2,quality,SECURITY.md,medium,6,TP
compage,3,stakeholders,code-of-conduct.md,low,0,FP
compage,4,deployment,Dockerfile,low,3,TP
compage,5,interface,api/v1/project.proto,low,3,TP
DeepStack,1,arch_overview,.github/workflows/pr_test_cpu.yml,low,0,FP
DeepStack,2,quality,README.md,low,1,TP
DeepStack,3,deployment,README.md,low,1,TP
DeepStack,4,interface,README.md,low,1,TP
DeepStack,5,evaluation,demo/benchmark.py,medium,6,TP
dem,1,arch_overview,docs/design.md,low,1,TP
dem,2,views,docs/wp-content/core_class_diagram.png,medium,4,TP
dem,3,deployment,docs/installation.md,medium,4,TP
dem,4,interface,docs/design.md,low,1,TP
dem,5,evaluation,tests/__init__.py,low,0,FP
edge-aio-in-a-box,1,arch_overview,readme.md,high,7,TP
edge-aio-in-a-box,2,Views,readme_assets/aioedgeaiarchitecture.png; readme_assets/aioedgeaiarchitecture.png,high,7,TP
edge-aio-in-a-box,3,quality,readme.md,low,1,TP
edge-aio-in-a-box,4,stakeholders,runsolution.md,low,0,FP
edge-aio-in-a-box,5,deployment,deployment.md,low,3,TP
edge-aio-in-a-box,6,interface,readme.md,low,1,TP
edge-aio-in-a-box,7,evaluation,readme.md,low,3,TP
edge-home-orchestration-go,1,arch_overview,README.md,high,7,TP
edge-home-orchestration-go,2,context,docs/how-to-add-new-platform.md,low,1,TP
edge-home-orchestration-go,3,views,docs/images/CloudSync/MQTTArchitecture.png,high,7,TP
edge-home-orchestration-go,4,quality,.github/SECURITY.md,medium,6,TP
edge-home-orchestration-go,5,deployment,deployments/datastorage/docker-compose.yml,medium,6,TP
edge-home-orchestration-go,6,interface,api/cloudsync_api.yaml,low,3,TP
edge-home-orchestration-go,7,evaluation,README.md,low,0,FP
edge-infer,1,arch_overview,README.md,high,7,TP
edge-infer,2,views,docs/edge-mind.svg,low,1,TP
edge-infer,3,deployment,README.md,low,1,TP
edge-infer,4,interface,enfer_grpc/proto/tokenizer/tokenizer.proto,low,3,TP
edge-infer,5,evaluation,enfer_wasm/tests/web.rs,low,0,FP
edgeai-gst-apps,1,deployment,docker/Dockerfile,low,3,TP
edgeai-gst-apps,2,evaluation,tests/datasheet/camera_config.yaml,low,3,TP
edgehog,1,arch_overview,backend/docs/pages/architecture/overview.md,high,8,TP
edgehog,2,context,LICENSES/CC-BY-4.0.txt,low,0,FP
edgehog,3,views,backend/docs/image_sources/edgehog_architecture.drawio,high,7,TP
edgehog,4,quality,SECURITY.md,medium,6,TP
edgehog,5,stakeholders,CODE_OF_CONDUCT.md,low,0,FP
edgehog,6,deployment,backend/docs/pages/admin/deploying_with_kubernetes.md,medium,4,TP
edgehog,7,interface,backend/priv/astarte_resources/interfaces/io.edgehog.devicemanager.apps.CreateImageRequest.json,low,3,TP
edgehog,8,evaluation,backend/docs/pages/containers/applications_management.md,low,0,FP
edgehog-device-runtime,1,arch_overview,edgehog-device-runtime-forwarder/README.md,low,3,TP
edgehog-device-runtime,2,views,edgehog-device-runtime-forwarder/README.md,high,7,TP
edgehog-device-runtime,3,quality,SECURITY.md,medium,6,TP
edgehog-device-runtime,4,deployment,container/Dockerfile,low,3,TP
edgehog-device-runtime,5,interface,README.md,low,3,TP
edgehog-device-runtime,6,evaluation,edgehog-device-runtime-forwarder/tests/http_test.rs,low,1,TP
edgen,1,arch_overview,README.md,medium,4,TP
edgen,2,views,docs/assets/edgen_architecture_overview.svg,high,7,TP
edgen,3,quality,edgen/src-tauri/tauri.conf.json,low,0,TP
edgen,4,deployment,README.md,low,2,TP
edgen,5,interface,openapi-docs/edgen-api-spec.json,high,7,TP
edgen,6,evaluation,crates/edgen_server/tests/common/mod.rs,low,2,TP
edgerunner,1,arch_overview,README.md,medium,4,TP
edgerunner,2,deployment,HACKING.md,low,0,FP
edgerunner,3,interface,README.md,low,3,TP
